Rank,True,Pred,Count,Error_Rate,True_초성,True_중성,True_종성,Pred_초성,Pred_중성,Pred_종성,Error_Component
1,yeo,eo,87,0.2071428571428571,y,e,o,e,o,(없음),"초성, 중성, 종성"
2,i,eo,68,0.1619047619047619,i,,(없음),e,o,(없음),"초성, 중성"
3,ji,gi,52,0.1238095238095238,j,i,(없음),g,i,(없음),초성
4,deul,reul,45,0.1071428571428571,d,e,u,r,e,u,초성
5,jeong,gyeong,44,0.1047619047619047,j,e,o,g,y,e,"초성, 중성, 종성"
6,si,seo,43,0.1023809523809523,s,i,(없음),s,e,o,"중성, 종성"
7,seo,si,42,0.1,s,e,o,s,i,(없음),"중성, 종성"
8,eo,yeo,42,0.1,e,o,(없음),y,e,o,"초성, 중성, 종성"
9,eo,i,39,0.0928571428571428,e,o,(없음),i,,(없음),"초성, 중성"
10,geu,eu,37,0.0880952380952381,g,e,u,e,u,(없음),"초성, 중성, 종성"
